Start_Date,End_Date,Data_Used,timediff
2025-12-02,2025-12-02,164.54,0-0 0 0:20:30
2026-03-31,2026-03-31,479.75,0-0 0 1:24:35
2025-09-09,2025-09-09,52.71,0-0 0 0:24:59
2025-10-17,2025-10-17,175.91,0-0 0 0:16:46
2025-11-06,2025-11-06,3.64,0-0 0 0:1:19
2026-03-01,2026-03-01,36.33,0-0 0 0:4:12
2026-03-26,2026-03-26,18.17,0-0 0 0:1:45
2025-07-11,2025-07-11,23.6,0-0 0 0:2:57
2026-04-12,2026-04-12,11.25,0-0 0 0:4:48
2025-09-29,2025-09-29,42.9,0-0 0 0:4:26
2025-10-22,2025-10-22,28.76,0-0 0 0:4:4
2025-09-25,2025-09-25,53.95,0-0 0 0:4:44
2026-03-21,2026-03-21,28.64,0-0 0 0:3:35
2026-04-21,2026-04-21,195.72,0-0 0 0:23:40
2025-07-14,2025-07-14,23.22,0-0 0 0:2:51
2025-10-24,2025-10-24,38.85,0-0 0 0:4:53
2026-04-12,2026-04-12,10.96,0-0 0 0:1:7
2026-02-07,2026-02-07,34.76,0-0 0 0:4:6
2026-02-08,2026-02-08,15.18,0-0 0 0:1:49
2025-11-15,2025-11-15,0.59,0-0 0 0:0:10
2026-01-15,2026-01-15,124.51,0-0 0 0:21:48
2026-02-12,2026-02-12,49.5,0-0 0 0:23:45
2025-10-25,2025-10-25,112.77,0-0 0 0:10:2
2026-05-07,2026-05-07,86.32,0-0 0 0:7:36
2026-03-11,2026-03-11,9.46,0-0 0 0:1:5
2025-09-26,2025-09-26,48.56,0-0 0 0:7:29
2025-06-10,2025-06-10,31.78,0-0 0 0:4:14
2025-07-24,2025-07-24,9.23,0-0 0 0:3:0
2025-11-23,2025-11-23,74.81,0-0 0 0:6:36
2025-12-24,2025-12-24,29.73,0-0 0 0:3:53
2025-12-03,2025-12-03,9.35,0-0 0 0:1:2
2025-11-23,2025-11-23,12.62,0-0 0 0:1:45
2025-07-16,2025-07-16,33.76,0-0 0 0:9:5
2025-08-21,2025-08-21,33.42,0-0 0 0:3:5
2025-12-29,2025-12-29,0.98,0-0 0 0:0:27
2026-02-03,2026-02-03,5.67,0-0 0 0:0:38
2026-04-30,2026-04-30,128.86,0-0 0 0:12:22
2025-07-31,2025-07-31,18.08,0-0 0 0:3:1
2025-07-13,2025-07-13,23.25,0-0 0 0:2:7
2025-07-19,2025-07-19,5.19,0-0 0 0:0:35
2025-07-25,2025-07-25,101.73,0-0 0 0:15:50
2026-04-23,2026-04-23,17.1,0-0 0 0:2:58
2025-10-21,2025-10-21,5.81,0-0 0 0:1:1
2025-12-17,2025-12-17,0.4,0-0 0 0:0:10
2025-09-30,2025-09-30,18.63,0-0 0 -0:0:25
2025-05-25,2025-05-25,237.3,0-0 0 0:26:14
2025-07-23,2025-07-23,4.84,0-0 0 0:1:27
2025-11-11,2025-11-11,153.33,0-0 0 0:14:58
2025-11-26,2025-11-26,51.92,0-0 0 0:4:50
2025-09-25,2025-09-25,12.74,0-0 0 0:3:3
2026-05-05,2026-05-05,134.15,0-0 0 0:14:25
2026-03-16,2026-03-16,40.64,0-0 0 0:3:56
2025-07-03,2025-07-03,12.03,0-0 0 0:2:3
2025-09-02,2025-09-02,28.64,0-0 0 0:4:11
2025-09-08,2025-09-08,8.92,0-0 0 0:0:59
2026-01-01,2026-01-01,9.68,0-0 0 0:0:53
2026-02-10,2026-02-10,11.71,0-0 0 0:3:1
2025-10-08,2025-10-08,260.85,0-0 0 0:28:27
2026-04-06,2026-04-06,2.35,0-0 0 0:2:10
2025-06-10,2025-06-10,2.08,0-0 0 0:0:26
2025-05-30,2025-05-30,18.24,0-0 0 0:4:8
2025-06-19,2025-06-19,38.41,0-0 0 0:3:36
2026-04-03,2026-04-03,54.34,0-0 0 0:23:48
2025-05-18,2025-05-18,56.11,0-0 0 0:27:38
2026-04-26,2026-04-26,15.82,0-0 0 0:2:35
2025-10-01,2025-10-01,6.88,0-0 0 0:4:51
2025-06-12,2025-06-12,14.93,0-0 0 0:1:31
2026-02-01,2026-02-01,98.35,0-0 0 0:20:5
2026-04-26,2026-04-26,10.39,0-0 0 0:2:43
2025-08-02,2025-08-02,0.96,0-0 0 0:1:15
2026-02-20,2026-02-20,17.42,0-0 0 0:2:3
2026-03-26,2026-03-26,20.25,0-0 0 0:3:10
2025-07-11,2025-07-11,2.15,0-0 0 0:2:0
2026-01-13,2026-01-13,3.42,0-0 0 0:1:18
2026-04-17,2026-04-17,21.36,0-0 0 0:3:19
2025-09-28,2025-09-28,6.88,0-0 0 0:4:31
2025-06-17,2025-06-17,11.55,0-0 0 0:0:59
2025-08-13,2025-08-13,229.77,0-0 0 0:25:42
2026-02-09,2026-02-09,1.73,0-0 0 0:0:59
2026-04-02,2026-04-02,2.39,0-0 0 0:2:20
2026-02-03,2026-02-03,27.13,0-0 0 0:2:41
2026-02-03,2026-02-03,10.95,0-0 0 0:4:7
2026-03-26,2026-03-26,28.03,0-0 0 0:4:17
2025-11-16,2025-11-16,11.58,0-0 0 0:1:5
2026-04-09,2026-04-09,2.92,0-0 0 0:3:10
2025-12-08,2025-12-08,2.24,0-0 0 0:0:20
2025-07-31,2025-07-31,59.44,0-0 0 0:14:3
2025-09-12,2025-09-12,106.57,0-0 0 0:16:8
2026-04-16,2026-04-16,12.17,0-0 0 0:3:37
2026-01-22,2026-01-22,24.5,0-0 0 0:2:47
2026-02-21,2026-02-21,182.01,0-0 0 0:26:34
2026-03-18,2026-03-18,11.12,0-0 0 0:4:43
2025-08-31,2025-08-31,5.47,0-0 0 0:0:31
2026-04-20,2026-04-20,148.07,0-0 0 0:15:47
2025-08-23,2025-08-23,130.66,0-0 0 0:28:5
2025-08-31,2025-08-31,166.91,0-0 0 0:17:17
2026-01-14,2026-01-14,19.87,0-0 0 0:2:25
2025-09-15,2025-09-15,0.31,0-0 0 0:0:17
2026-01-08,2026-01-08,10.56,0-0 0 0:1:36
2025-11-18,2025-11-18,65.65,0-0 0 0:20:3
2025-10-20,2025-10-20,17.86,0-0 0 0:2:9
2026-05-01,2026-05-01,46.13,0-0 0 0:16:38
2026-01-07,2026-01-07,18.48,0-0 0 0:2:24
2026-02-21,2026-02-21,17.08,0-0 0 0:1:37
2026-04-04,2026-04-04,55.74,0-0 0 0:9:15
2025-10-02,2025-10-02,873.29,0-0 0 1:28:26
2026-05-04,2026-05-04,794.38,0-0 0 1:18:18
2026-01-09,2026-01-09,0.94,0-0 0 0:0:12
2025-06-03,2025-06-03,13.64,0-0 0 0:6:22
2026-02-15,2026-02-15,4.97,0-0 0 0:1:21
2026-02-03,2026-02-03,3.23,0-0 0 0:0:56
2025-07-31,2025-07-31,5.73,0-0 0 0:2:37
2025-12-10,2025-12-10,27.45,0-0 0 0:4:10
2025-11-28,2025-11-28,48.77,0-0 0 0:4:38
2025-10-07,2025-10-07,292.39,0-0 0 0:43:36
2026-04-20,2026-04-20,165.81,0-0 0 0:25:58
2025-07-12,2025-07-12,7.04,0-0 0 0:4:34
2025-05-27,2025-05-27,4.71,0-0 0 0:0:54
2026-03-26,2026-03-26,6.15,0-0 0 0:0:45
2025-08-13,2025-08-13,2.34,0-0 0 0:1:38
2025-05-27,2025-05-27,14.07,0-0 0 0:3:25
2025-09-17,2025-09-17,7.4,0-0 0 0:1:38
2026-02-04,2026-02-04,233.75,0-0 0 0:24:45
2025-11-23,2025-11-23,20.84,0-0 0 0:2:25
2025-11-09,2025-11-09,16.3,0-0 0 0:2:37
2026-05-10,2026-05-10,90.23,0-0 0 0:14:2
2026-03-03,2026-03-03,16.67,0-0 0 0:3:38
2025-06-16,2025-06-16,32.86,0-0 0 0:2:55
2025-07-30,2025-07-30,99.76,0-0 0 0:14:28
2025-11-19,2025-11-19,6.69,0-0 0 0:0:54
2026-01-21,2026-01-21,48.69,0-0 0 0:17:47
2025-11-03,2025-11-03,336.26,0-0 0 0:33:23
2025-06-28,2025-06-28,39.37,0-0 0 0:26:1
2025-12-21,2025-12-21,44.4,0-0 0 0:4:28
2025-11-26,2025-11-26,18.91,0-0 0 0:13:24
2025-08-17,2025-08-17,39.83,0-0 0 0:3:42
2025-12-05,2025-12-05,88.11,0-0 0 0:23:21
2025-06-17,2025-06-17,2.38,0-0 0 0:0:28
2025-07-20,2025-07-20,22.24,0-0 0 0:4:14
2026-01-15,2026-01-15,32.38,0-0 0 0:3:12
2026-01-04,2026-01-04,4.42,0-0 0 0:2:45
2025-07-24,2025-07-24,2.92,0-0 0 0:0:53
2026-02-20,2026-02-20,47.15,0-0 0 0:21:32
2025-08-28,2025-08-28,3.17,0-0 0 0:0:29
2025-09-05,2025-09-05,16.46,0-0 0 0:1:38
2026-03-25,2026-03-25,25.12,0-0 0 0:4:18
2026-01-18,2026-01-18,39.32,0-0 0 0:3:57
2025-06-13,2025-06-13,73.95,0-0 0 0:9:42
2026-02-12,2026-02-12,15.91,0-0 0 0:24:36
2026-04-27,2026-04-27,5.04,0-0 0 0:3:13
2026-03-10,2026-03-10,3.16,0-0 0 0:0:52
2025-06-08,2025-06-08,4.21,0-0 0 0:1:5
2025-09-22,2025-09-22,181.92,0-0 0 0:18:38
2025-05-18,2025-05-18,55.1,0-0 0 0:12:11
2025-10-14,2025-10-14,30.52,0-0 0 0:2:36
2025-06-01,2025-06-01,160.42,0-0 0 0:21:12
2025-06-08,2025-06-08,30.41,0-0 0 0:2:36
2026-04-02,2026-04-02,10.37,0-0 0 0:1:0
2025-08-16,2025-08-16,29.29,0-0 0 0:4:52
2025-05-15,2025-05-15,37.22,0-0 0 0:4:21
2026-04-26,2026-04-26,6.83,0-0 0 0:2:25
2025-06-04,2025-06-05,122.96,0-0 0 0:37:52
2025-08-26,2025-08-26,12.16,0-0 0 0:3:7
2026-03-17,2026-03-17,26.99,0-0 0 0:4:45
2025-06-05,2025-06-05,287.73,0-0 0 0:24:34
2025-11-22,2025-11-22,14.67,0-0 0 0:1:15
2025-12-31,2025-12-31,6.14,0-0 0 0:1:54
2025-12-04,2025-12-04,10.3,0-0 0 0:1:37
2026-04-01,2026-04-01,227.16,0-0 0 1:37:8
2025-08-27,2025-08-27,5.81,0-0 0 0:0:46
2026-01-27,2026-01-27,40.75,0-0 0 0:3:53
2025-10-24,2025-10-24,691.13,0-0 0 1:38:49
2026-04-26,2026-04-26,1.28,0-0 0 0:0:36
2025-08-26,2025-08-26,5.22,0-0 0 0:0:36
2026-02-06,2026-02-06,29.77,0-0 0 0:2:53
2026-04-09,2026-04-09,1.62,0-0 0 0:1:12
2026-01-23,2026-01-23,22.47,0-0 0 0:1:59
2026-01-15,2026-01-15,29.87,0-0 0 0:25:51
2025-06-06,2025-06-06,8.76,0-0 0 0:1:44
2026-02-02,2026-02-02,30.19,0-0 0 0:3:46
2026-04-18,2026-04-18,258.9,0-0 0 0:25:7
2025-08-25,2025-08-25,64.62,0-0 0 0:11:32
2025-08-16,2025-08-16,9.82,0-0 0 0:2:5
2026-01-26,2026-01-26,1.04,0-0 0 0:0:21
2025-11-26,2025-11-26,21.07,0-0 0 0:3:42
2025-11-20,2025-11-20,0.74,0-0 0 0:0:13
2025-09-13,2025-09-13,13.24,0-0 0 0:4:42
2025-06-05,2025-06-05,1.59,0-0 0 0:2:35
2025-11-17,2025-11-17,296.61,0-0 0 1:45:53
2026-02-09,2026-02-09,239.69,0-0 0 0:27:33
2025-12-05,2025-12-05,68.18,0-0 0 0:17:30
2025-12-23,2025-12-23,22.73,0-0 0 0:3:26
2026-03-20,2026-03-20,17.14,0-0 0 0:2:53
2025-07-20,2025-07-20,0.25,0-0 0 0:0:16
2025-11-24,2025-11-24,26.54,0-0 0 0:4:15
2025-09-28,2025-09-28,3.91,0-0 0 0:0:50
2025-08-31,2025-08-31,12.15,0-0 0 0:4:31
2025-07-26,2025-07-26,10.35,0-0 0 0:2:37
2025-08-21,2025-08-21,79.29,0-0 0 0:10:53
2025-09-23,2025-09-23,7.46,0-0 0 0:0:44
2025-08-26,2025-08-26,7.27,0-0 0 0:4:58
2026-02-04,2026-02-04,49.13,0-0 0 0:4:36
2025-12-15,2025-12-15,0.3,0-0 0 0:0:29
2025-11-13,2025-11-13,4.99,0-0 0 0:2:48
2025-11-06,2025-11-06,24.55,0-0 0 0:2:59
2025-10-01,2025-10-01,0.66,0-0 0 0:0:26
2025-09-19,2025-09-19,120.9,0-0 0 0:16:58
2026-02-17,2026-02-17,12.49,0-0 0 0:2:52
2026-01-28,2026-01-28,12.68,0-0 0 0:3:30
2026-02-27,2026-02-27,6.34,0-0 0 0:2:34
2026-01-17,2026-01-17,65.15,0-0 0 0:19:27
2025-11-02,2025-11-02,38.81,0-0 0 0:4:7
2025-05-21,2025-05-21,0.33,0-0 0 0:0:11
2026-04-30,2026-04-30,53.25,0-0 0 0:4:28
2025-05-25,2025-05-25,28.07,0-0 0 0:3:3
2026-02-25,2026-02-25,23.4,0-0 0 0:3:14
2026-05-02,2026-05-02,17.46,0-0 0 0:3:29
2025-06-28,2025-06-28,2.63,0-0 0 0:0:19
2025-11-12,2025-11-12,44.67,0-0 0 0:21:51
2026-04-11,2026-04-11,32.47,0-0 0 0:23:2
2025-09-18,2025-09-18,14.94,0-0 0 0:4:26
2025-09-25,2025-09-25,14.31,0-0 0 0:1:46
2025-05-17,2025-05-17,645.01,0-0 0 1:29:19
2025-09-15,2025-09-15,2.38,0-0 0 0:0:44
2026-03-29,2026-03-29,14.14,0-0 0 0:2:45
2025-07-29,2025-07-29,37.26,0-0 0 0:4:3
2025-08-11,2025-08-11,2.34,0-0 0 0:0:26
2026-01-08,2026-01-08,151.66,0-0 0 0:15:25
2025-11-19,2025-11-19,144.91,0-0 0 0:20:37
2026-02-04,2026-02-04,7.61,0-0 0 0:4:41
2025-07-01,2025-07-01,30.24,0-0 0 0:2:57
2025-12-05,2025-12-05,30.14,0-0 0 0:4:17
2025-08-15,2025-08-15,17.61,0-0 0 0:1:42
2025-05-26,2025-05-26,10.05,0-0 0 0:1:29
2025-07-19,2025-07-19,9.22,0-0 0 0:2:56
2025-06-26,2025-06-26,3.24,0-0 0 0:3:48
2026-04-26,2026-04-26,0.51,0-0 0 0:0:11
2025-05-30,2025-05-30,199.59,0-0 0 0:26:28
2026-02-27,2026-02-27,2.6,0-0 0 0:1:14
2025-08-07,2025-08-07,97.44,0-0 0 0:14:53
2025-06-19,2025-06-19,28.71,0-0 0 0:3:16
2025-07-28,2025-07-28,114.9,0-0 0 1:8:25
2025-10-02,2025-10-02,14.0,0-0 0 0:1:56
2025-06-01,2025-06-01,50.64,0-0 0 0:10:11
2025-09-08,2025-09-08,53.79,0-0 0 0:13:39
2026-03-03,2026-03-03,9.83,0-0 0 0:1:11
2025-08-13,2025-08-13,26.27,0-0 0 0:2:26
2026-03-12,2026-03-12,15.52,0-0 0 0:2:16
2026-01-12,2026-01-12,85.68,0-0 0 0:17:4
2025-07-02,2025-07-02,4.43,0-0 0 0:0:40
2026-01-30,2026-01-30,86.0,0-0 0 0:12:32
2025-07-19,2025-07-19,7.63,0-0 0 0:11:17
2026-05-09,2026-05-09,1.27,0-0 0 0:0:12
2025-12-30,2025-12-30,35.71,0-0 0 0:3:38
2025-12-25,2025-12-25,16.59,0-0 0 0:2:5
2025-07-11,2025-07-11,9.68,0-0 0 0:1:50
2025-10-19,2025-10-19,14.69,0-0 0 0:1:16
2025-05-22,2025-05-22,6.17,0-0 0 0:1:54
2025-06-22,2025-06-22,28.78,0-0 0 0:3:46
2026-01-10,2026-01-10,30.25,0-0 0 0:4:0
2026-01-05,2026-01-05,10.22,0-0 0 0:1:13
2025-10-31,2025-10-31,6.47,0-0 0 0:0:43
2026-03-08,2026-03-08,330.22,0-0 0 0:1:58
2025-10-26,2025-10-26,185.13,0-0 0 0:23:58
2026-01-08,2026-01-08,7.75,0-0 0 0:3:4
2026-04-06,2026-04-06,180.63,0-0 0 0:26:28
2025-08-15,2025-08-15,14.45,0-0 0 0:4:12
2025-07-27,2025-07-27,26.53,0-0 0 0:2:36
2026-03-01,2026-03-01,13.84,0-0 0 -0:1:51
2025-05-14,2025-05-14,7.86,0-0 0 0:1:36
2025-12-24,2025-12-24,23.74,0-0 0 0:2:16
2025-07-16,2025-07-16,12.26,0-0 0 0:1:21
2025-12-23,2025-12-23,19.61,0-0 0 0:2:19
2026-02-10,2026-02-10,9.94,0-0 0 -0:4:1
2025-10-02,2025-10-02,11.28,0-0 0 0:4:32
2026-01-20,2026-01-20,5.55,0-0 0 0:2:28
2025-09-01,2025-09-01,24.7,0-0 0 0:3:4
2026-03-20,2026-03-20,17.95,0-0 0 0:4:9
2025-08-09,2025-08-09,5.84,0-0 0 0:0:40
2025-07-21,2025-07-21,5.02,0-0 0 0:0:55
2025-08-02,2025-08-02,105.82,0-0 0 0:10:53
2025-12-19,2025-12-19,7.08,0-0 0 0:0:43
2026-03-13,2026-03-13,28.95,0-0 0 0:2:47
2025-09-17,2025-09-17,6.45,0-0 0 0:4:12
2026-04-29,2026-04-29,5.8,0-0 0 0:1:4
2025-10-27,2025-10-27,50.87,0-0 0 0:23:24
2026-03-15,2026-03-15,30.25,0-0 0 0:5:4
2025-09-21,2025-09-21,7.5,0-0 0 0:2:14
2025-11-20,2025-11-20,25.96,0-0 0 0:3:58
2026-03-20,2026-03-20,28.86,0-0 0 0:3:41
2025-09-17,2025-09-17,32.44,0-0 0 0:0:23
2026-03-13,2026-03-13,0.43,0-0 0 0:0:15
2025-07-11,2025-07-11,27.47,0-0 0 0:3:10
2026-03-06,2026-03-06,13.99,0-0 0 0:2:8
2025-09-20,2025-09-20,4.61,0-0 0 0:3:4
2026-03-07,2026-03-07,22.56,0-0 0 0:5:22
2025-10-15,2025-10-15,2.83,0-0 0 0:1:59
2025-11-07,2025-11-07,37.03,0-0 0 0:13:13
2026-04-19,2026-04-19,13.89,0-0 0 0:2:0
2025-12-24,2025-12-24,142.75,0-0 0 0:17:29
2025-08-19,2025-08-19,7.86,0-0 0 -0:4:27
2026-03-12,2026-03-12,8.31,0-0 0 0:5:47
2025-08-17,2025-08-17,3.85,0-0 0 0:1:53
2025-05-27,2025-05-27,48.91,0-0 0 0:4:32
2025-12-09,2025-12-09,38.41,0-0 0 0:3:19
2025-08-21,2025-08-21,23.6,0-0 0 0:4:15
2026-01-19,2026-01-19,24.63,0-0 0 0:6:8
2025-11-08,2025-11-08,40.22,0-0 0 0:4:21
2025-11-13,2025-11-13,17.45,0-0 0 0:2:2
2025-07-29,2025-07-29,3.74,0-0 0 0:4:16
2025-06-22,2025-06-22,89.58,0-0 0 0:26:4
2025-09-01,2025-09-01,8.68,0-0 0 0:0:55
2025-10-10,2025-10-10,1.71,0-0 0 0:1:30
2025-07-24,2025-07-24,16.95,0-0 0 0:1:59
2025-10-09,2025-10-09,7.98,0-0 0 0:2:57
2026-02-16,2026-02-16,26.35,0-0 0 0:4:45
2026-01-28,2026-01-28,8.2,0-0 0 0:2:10
2025-05-15,2025-05-15,142.89,0-0 0 0:12:19
2026-01-28,2026-01-28,3.32,0-0 0 0:0:30
2025-07-10,2025-07-10,6.9,0-0 0 0:0:39
2025-12-08,2025-12-08,88.96,0-0 0 0:14:55
2025-08-13,2025-08-13,7.51,0-0 0 0:0:38
2025-09-28,2025-09-28,12.54,0-0 0 0:2:31
2026-01-06,2026-01-06,2.96,0-0 0 0:2:0
2025-05-18,2025-05-18,4.8,0-0 0 -0:3:9
2025-09-13,2025-09-13,11.99,0-0 0 0:1:15
2026-02-11,2026-02-11,2.32,0-0 0 0:2:33
2025-10-16,2025-10-16,43.11,0-0 0 0:3:50
2026-02-28,2026-02-28,16.11,0-0 0 0:1:27
2025-09-05,2025-09-05,33.83,0-0 0 0:3:19
2025-06-15,2025-06-15,35.0,0-0 0 -0:0:20
2025-12-27,2025-12-27,2.46,0-0 0 0:2:20
2025-08-22,2025-08-22,23.7,0-0 0 0:4:19
2025-09-24,2025-09-24,12.41,0-0 0 0:2:34
2026-01-10,2026-01-10,21.0,0-0 0 0:1:54
2026-04-10,2026-04-10,10.0,0-0 0 0:4:6
2025-09-22,2025-09-22,425.21,0-0 0 0:38:54
2026-04-24,2026-04-24,148.56,0-0 0 0:26:37
2025-07-22,2025-07-22,31.5,0-0 0 0:2:46
2025-09-03,2025-09-03,26.23,0-0 0 0:24:0
2026-05-05,2026-05-05,40.55,0-0 0 0:9:12
2026-04-22,2026-04-22,5.75,0-0 0 0:1:20
2025-07-30,2025-07-30,1533.69,0-0 0 0:3:11
2025-09-23,2025-09-23,20.73,0-0 0 0:2:40
2025-09-01,2025-09-01,27.77,0-0 0 0:3:24
2025-09-27,2025-09-27,37.47,0-0 0 0:3:58
2025-07-26,2025-07-26,1.7,0-0 0 0:1:54
2026-04-24,2026-04-24,0.45,0-0 0 -0:0:52
2026-01-02,2026-01-02,25.9,0-0 0 0:3:6
2025-12-08,2025-12-08,104.87,0-0 0 0:24:47
2025-09-19,2025-09-19,9.42,0-0 0 0:2:47
2025-10-11,2025-10-11,807.63,0-0 0 1:56:46
2026-04-23,2026-04-23,55.84,0-0 0 0:18:32
2025-11-07,2025-11-07,265.15,0-0 0 1:50:6
2026-03-14,2026-03-14,21.06,0-0 0 0:3:38
2025-10-24,2025-10-24,36.81,0-0 0 0:4:37
2025-12-06,2025-12-06,165.91,0-0 0 0:22:15
2025-10-27,2025-10-27,80.8,0-0 0 0:7:15
2025-07-03,2025-07-03,146.02,0-0 0 0:12:45
2026-04-14,2026-04-14,14.19,0-0 0 0:3:21
2025-09-12,2025-09-12,19.65,0-0 0 0:2:53
2026-04-29,2026-04-29,20.38,0-0 0 0:7:11
2026-04-17,2026-04-17,23.63,0-0 0 -0:1:39
2026-01-28,2026-01-28,189.93,0-0 0 0:28:4
2025-09-21,2025-09-21,13.19,0-0 0 0:1:42
2026-02-25,2026-02-25,31.96,0-0 0 0:18:40
2026-01-11,2026-01-11,1.6,0-0 0 0:0:12
2025-11-24,2025-11-24,26.45,0-0 0 0:3:24
2025-08-24,2025-08-24,8.74,0-0 0 0:1:2
2025-12-16,2025-12-16,35.65,0-0 0 0:14:18
2025-07-20,2025-07-20,16.0,0-0 0 0:1:59
2025-07-07,2025-07-07,15.25,0-0 0 0:2:37
2026-03-03,2026-03-03,2.71,0-0 0 0:2:21
2026-01-26,2026-01-26,7.8,0-0 0 0:2:7
2025-12-04,2025-12-04,8.14,0-0 0 0:2:59
2026-03-08,2026-03-08,1114.68,0-0 0 1:41:43
2025-09-28,2025-09-28,6.42,0-0 0 0:2:45
2025-05-27,2025-05-28,50.35,0-0 0 0:22:44
2025-12-28,2025-12-28,1.14,0-0 0 0:1:31
2025-08-31,2025-08-31,27.3,0-0 0 0:2:31
2026-01-19,2026-01-19,3.52,0-0 0 0:0:22
2026-01-10,2026-01-10,151.52,0-0 0 0:30:22
2025-08-30,2025-08-30,3.42,0-0 0 0:0:19
2026-02-21,2026-02-21,23.87,0-0 0 0:3:17
2026-04-24,2026-04-24,11.26,0-0 0 0:3:34
2025-05-11,2025-05-11,174.43,0-0 0 0:29:40
2026-05-05,2026-05-05,54.4,0-0 0 0:4:36
2025-07-11,2025-07-11,7.73,0-0 0 0:1:21
2026-01-02,2026-01-02,9.27,0-0 0 0:3:30
2025-10-20,2025-10-20,28.33,0-0 0 0:2:52
2026-05-04,2026-05-04,7.85,0-0 0 0:0:49
2025-08-11,2025-08-11,299.17,0-0 0 0:29:40
2026-04-23,2026-04-23,43.87,0-0 0 0:16:2
2025-09-29,2025-09-29,18.33,0-0 0 0:2:17
2025-12-25,2025-12-25,93.42,0-0 0 0:13:34
2025-06-29,2025-06-29,37.45,0-0 0 -0:2:36
2025-09-08,2025-09-08,119.8,0-0 0 0:28:33
2025-06-10,2025-06-10,305.26,0-0 0 0:25:58
2025-06-19,2025-06-19,68.27,0-0 0 0:22:23
2025-10-03,2025-10-03,1.07,0-0 0 -0:0:16
2025-11-04,2025-11-04,28.9,0-0 0 0:4:31
2026-01-30,2026-01-30,1.8,0-0 0 0:2:37
2025-12-05,2025-12-05,13.28,0-0 0 0:2:21
2026-01-05,2026-01-05,52.65,0-0 0 0:22:3
2026-04-06,2026-04-06,6.58,0-0 0 0:1:45
2026-04-29,2026-04-29,12.3,0-0 0 0:1:18
2025-09-21,2025-09-21,48.1,0-0 0 0:5:27
2026-02-26,2026-02-26,214.91,0-0 0 0:26:27
2025-11-10,2025-11-10,2.08,0-0 0 0:0:45
